,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,1947186000000,1876545000000,1676690000000,2056404000000,1828256000000,1742801000000,235458000000,229285000000,220390000000,186251000000,246260000000,2390000000,-51255000000,-229143000000,27734000000,-173497000000,214995000000,236183000000,1207911000000,831076000000,815220000000,769769000000,2243147000000,2059672000000,2148133000000,2292941000000,2970484000000,2927995000000,3444641000000,4034689000000,4774453000000,5076166000000,5207711000000,5489009000000,8817509000000,8453580000000,8472212000000,8576687000000,9179243000000,10415254000000,10153716000000,10374989000000,11576392000000,10811512000000,10303511000000
NetDebtEBITDA,4380,4190,2640,3710,2430,2150,270,220,180,160,210,0,-40,-170,20,-120,150,150,790,550,500,510,1420,1210,1300,1350,1780,1850,1870,2260,2490,2590,3060,2730,14040,10730,9430,10690,4120,4680,4190,4330,4320,3980,3850
DebtFin,770966000000,62463000000,-293957000000,-686423000000,-741864000000,-800858000000,-2412877000000,-320889000000,-529493000000,-735473000000,-742067000000,-747982000000,-857352000000,-927052000000,-780991000000,-770877000000,-815736000000,-825110000000,-1091594000000,-754413000000,-1289869000000,-1479993000000,-1012899000000,-760297000000,-1119748000000,-739561000000,-725550000000,-261491000000,87180000000,917112000000,1534690000000,1820877000000,1992126000000,1855765000000,4156682000000,4376707000000,4467598000000,4446044000000,4391969000000,5612439000000,5395420000000,5267252000000,5627047000000,5706166000000,5176688000000
DebtFinEBITDA,1730,140,-460,-1240,-990,-990,-2730,-310,-440,-630,-640,-640,-750,-690,-570,-550,-580,-530,-710,-500,-790,-980,-640,-450,-680,-440,-440,-170,50,510,800,930,1170,920,6620,5560,4970,5540,1970,2520,2230,2200,2100,2100,1930
SP1,760,770,810,850,890,900,1100,1130,1120,1140,1120,1150,1140,1160,1130,1160,1110,1110,1060,1080,1070,1080,990,1010,980,970,930,940,900,860,840,830,810,810,620,640,630,630,620,600,600,600,590,620,620
SP2,990,990,1040,1030,1080,1090,1280,1310,1310,1320,1280,1320,1320,1330,1280,1320,1270,1270,1230,1220,1220,1220,1150,1170,1140,1190,1130,1160,1140,1140,1130,1180,1160,1250,1090,1100,1090,1090,1070,1030,1030,1020,1050,1060,1060
CAR,80,90,430,570,630,700,1820,440,490,670,620,690,770,830,570,720,600,650,600,600,860,1120,540,490,590,940,690,730,640,620,370,800,670,1690,760,860,940,940,800,450,570,540,630,700,810
QR,850,880,1210,1030,1250,1310,2430,2890,2500,2660,2450,2890,2880,3030,2430,3000,2370,2480,1890,2290,2120,2360,1560,1880,1580,2040,1500,1830,1650,1780,1750,2200,1860,2860,1710,2020,1850,1860,1580,1320,1290,1170,1270,1410,1400
CR,910,940,1260,1120,1390,1470,2620,3160,2740,2920,2650,3090,3070,3220,2580,3190,2570,2710,2130,2550,2340,2580,1810,2070,1770,2300,1730,2120,1940,2100,2020,2570,2220,3190,1980,2340,2130,2180,1730,1550,1520,1410,1470,1640,1640
PP,80,90,440,600,740,800,1890,2090,1870,1940,1800,2110,2160,2310,1850,2240,1770,1810,1220,1430,1410,1490,750,820,800,1130,820,900,850,900,680,1080,990,1810,850,970,1050,1040,800,450,580,550,640,720,880
RCLR,780,790,770,430,510,510,540,800,630,720,650,780,720,710,580,760,600,660,550,860,720,870,710,930,720,840,600,820,750,820,950,1010,810,990,730,890,760,780,630,720,660,590,480,500,440
KP,-10,-10,30,20,60,70,200,220,210,210,200,220,220,230,200,220,190,190,160,160,160,160,110,130,100,140,100,120,110,110,100,140,120,180,100,120,110,110,90,60,60,50,70,80,80
