,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP2,1240,1130,1220,1110,,1030,1130,1190,,1130,1000,910,,870,1010,940,,1010,940,940,,960,960,960,,950,1130,960,990,740,990,750,1010,1150,1290,1040,1050,1150,1010,920,990,1020,1020,940,1200,1160,1130,1110,840,380,380,390
CAR,70,170,160,180,,150,80,220,,100,90,120,,130,140,170,,210,220,190,,140,150,120,,70,160,80,120,0,0,20,10,60,30,10,60,30,20,10,400,360,330,300,410,400,280,240,110,80,40,40
QR,940,820,940,840,,590,760,870,,760,630,590,,460,720,550,,780,590,620,,650,620,620,,590,1080,670,700,470,530,370,590,880,1100,650,690,800,520,500,650,700,710,650,1200,1030,980,950,510,340,320,320
CR,1290,1190,1320,1130,,1020,1130,1240,,1150,1040,920,,850,1020,870,,1020,870,870,,910,910,910,,870,1500,910,960,880,990,670,1030,1370,1800,1050,1090,1420,830,750,890,1030,1030,910,1620,1490,1390,1380,760,510,490,480
PP,70,180,160,180,,150,80,220,,100,90,120,,130,180,170,,210,220,190,,140,150,120,,70,160,80,120,0,0,20,10,70,30,10,60,30,50,10,400,360,330,300,410,400,280,280,130,90,60,70
RCLR,870,650,790,670,,540,710,680,,740,640,560,,430,640,490,,590,470,530,,520,490,510,,530,950,600,590,420,480,320,570,640,1030,590,590,710,440,450,200,270,310,280,680,510,580,530,300,200,210,190
KP,120,70,120,60,,10,60,100,,70,20,-30,,-60,10,-40,,0,-40,-40,,-30,-30,-30,,-40,90,-30,-10,-90,0,-170,10,100,170,20,30,100,-30,-50,-50,10,10,-30,140,110,100,90,-100,-360,-370,-380
PKKO,110,70,120,60,,10,60,110,,70,20,-40,,-80,10,-70,,10,-100,-110,,-60,-50,-60,,-70,170,-70,-20,-90,0,-500,20,160,240,30,60,340,-170,-160,-100,10,10,-40,200,150,120,110,-110,-290,-280,-300
RN,3560,3650,3930,4130,4220,4050,3790,3620,3620,3290,3310,3390,3140,3440,3470,3470,2970,2980,3030,2950,2890,3020,3470,3870,4080,4130,3800,3080,3090,3090,3220,3420,3700,4059,4220,3310,2920,2340,1980,3670,4670,6960,7360,8340,7720,7420,7100,7020,7740,8220,9080,9430
CRN,103000,100000,93000,88000,87000,90000,96000,101000,101000,111000,110000,108000,116000,106000,105000,105000,123000,122000,121000,124000,126000,121000,105000,94000,89000,88000,96000,118000,118000,118000,113000,107000,99000,90000,86000,110000,125000,156000,184000,100000,78000,52000,50000,44000,47000,49000,51000,52000,47000,44000,40000,39000
CPZ,118000,125000,122000,126000,124000,139000,151000,158000,157000,156000,160000,165000,179000,192000,194000,204000,239000,212000,235000,235000,239000,238000,204000,186000,176000,173000,154000,180000,185000,195000,218000,259000,227000,189000,154000,164000,183000,224000,310000,177000,184000,166000,169000,170000,133000,120000,107000,91000,103000,126000,147000,175000
RZ,7800,7340,7390,7910,8140,7420,6890,6390,6440,6680,6730,7180,6660,6320,7000,6810,5650,7050,6870,7680,7590,7370,7270,6710,7000,6790,6960,5980,6050,5260,4170,3690,3690,4560,5120,4330,3970,2350,1740,3810,5030,7640,7420,7300,7300,7770,8280,8390,8810,9630,10150,10490
CRZ,47000,50000,49000,46000,45000,49000,53000,57000,57000,55000,54000,51000,55000,58000,52000,54000,65000,52000,53000,48000,48000,50000,50000,54000,52000,54000,52000,61000,60000,69000,87000,99000,99000,80000,71000,84000,92000,155000,210000,96000,73000,48000,49000,50000,50000,47000,44000,44000,41000,38000,36000,35000
RMO,2410,2250,2320,2390,2440,2310,2210,2060,2060,2000,2000,2130,1970,2020,2029,1970,1680,1780,1710,1710,1670,1740,1990,2160,2280,2350,2290,1960,1950,1840,1790,1730,1870,2029,2200,1790,1570,1270,1060,1960,2020,2490,2330,2250,2500,2540,2640,2750,2980,3280,3610,3800
RMT,2640,2240,2160,2170,2210,2140,2100,1990,1990,2029,1890,1780,1650,1390,1270,1030,880,840,690,690,670,690,780,820,870,890,880,750,730,870,1160,1170,1370,1250,1250,1070,950,760,550,890,920,1120,1240,1290,1360,1370,1380,1410,1460,1650,1840,2000
RM,1260,1120,1120,1140,1160,1110,1070,1010,1010,1010,970,970,900,820,780,680,580,570,490,490,480,500,560,600,630,650,640,540,530,590,700,700,790,770,800,670,590,480,330,510,510,610,710,810,880,890,910,930,980,1100,1220,1310
COP,150000,150000,142000,134000,132000,139000,149000,158000,158000,166000,164000,159000,171000,164000,157000,159000,188000,174000,174000,172000,174000,171000,155000,148000,141000,142000,148000,179000,178000,187000,200000,206000,198000,170000,157000,194000,217000,311000,394000,196000,151000,100000,99000,94000,97000,96000,95000,96000,88000,82000,76000,74000
CSP,32000,25000,20000,8000,8000,0,-2000,0,1000,10000,4000,-6000,-8000,-28000,-37000,-45000,-51000,-38000,-61000,-63000,-65000,-67000,-49000,-38000,-35000,-31000,-6000,-1000,-7000,-8000,-18000,-53000,-29000,-19000,3000,30000,34000,87000,84000,19000,-33000,-66000,-70000,-76000,-36000,-24000,-12000,5000,-15000,-44000,-71000,-101000
