,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CZOCurrent_yy,,,,,,,,,-66.38,-74.27,-57.48,-44.07,-47.93,-35.87,-22.49,-28.66,1.85,40.86,13.67,101.99,81.41,54.77,104.57,1286.05,,,,,,,,,,,,,,,,,,933.89,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,-23.99,-22.02,-35.32,-35.94,-34.47,-34.71,-27.46,-19.71,3.64,18.63,13.07,16.03,21.81,57.68,34.33,71.61,,,,,,,,,,,,,,,,,,-47.59,,,,,,,,,,,
CZOCurrent_qq,,,,,,-3.97,-45.48,-28.19,-10.58,-26.50,-9.91,-5.54,-16.75,-9.48,8.88,-13.05,18.85,25.19,-12.13,54.50,6.74,6.80,16.14,946.83,,,,,,-96.68,12.74,,,,,,,,,,12.23,224.41,-95.61,,,,,,,,,,
CZOCurrent_sq,,,,,,-18.61,24.79,-12.46,-14.50,-16.51,3.50,-13.30,-12.54,-16.80,14.99,-4.04,12.89,-4.77,9.60,-1.53,18.51,23.27,-6.63,25.80,,,,,,45.99,1.30,,,,,,,,,,-17.20,-25.31,-6.76,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,-33.42,-36.63,,,,107.93,75.45,40.04,-9.61,-2015.61,-379.12,14.32,103.93,28.21,-14.90,-206.58,-3919.21,172.55,146.27,124.16,58.58,-305.26,-521.18,-115.78,-32.38,67.88,123.97,1480.15,45.73,235.75,-197.96,-156.79,-103.47,-140.30,112.85,272.04,96.47,294.76,-1720.32,-50.82,1250.64,7.42,222.67,67.89,27.27,267.56,-35.83,113.97,31.94,-14.65,-3.14,-164.59,-40.54
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-6.98,-16.28,-21.50,105.25,-431.05,-183.99,-122.09,8.26,17.20,49.22,110.20,-1773.70,-32.53,-35.50,-27.07,131.79,-15.47,-29.25,-317.88,-57.53,-73.44,97.35,-1727.32,61.77,229.41,52.67,-171.85,195.63,-193.39,11.50,-157.43,81.06,129.79,1084.48,-105.28,1145.01,-347.85,135.95,23.56,-2.44,183.05,-50.79,-6.33,181.73,-50.58,64.07,-42.24,82.24,-43.91,-209.41,153.17
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
