,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_sq,,,,,-0.77,-0.93,5.61,-7.66,-12.79,-1.05,66.51,-19.68,13.53,-9.94,11.95,-10.87,6.21,0.56,-12.54,5.33,-11.27,-8.00,16.29,1.92,8.80,-7.02,-4.90,15.63,-2.06,-0.78,-0.66,-1.33,-6.65,5.26,3.24,-10.71,-3.12,15.62,-0.39,8.75,-0.99,1.46,7.75,0.95,-18.25,4.11
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,22.99,1047.97,-95.17,,,,-26.02,658.33,237.16,,1171.98,93.89,24.05,,-249.85,-524.70,-496.93,,-20.01,67.70,78.08,,106.97,108.16,128.00,185.33,70.69,401.87,107.81,-4.24,49.90,-73.10,-74.55,-129.84,-450.54,-2217.13,-2959.52,-3520.34,-448.56,-609.99,-1198.10,-807.57,495.75,193.55,130.08
ROE_sy,,12.70,-5.56,-20.48,,,,-41.22,-16.48,33.95,,-9.38,12.42,-8.29,,-14.02,-7.26,1.82,,44.95,37.92,41.63,,8.94,-4.15,-13.17,-5.06,-8.36,3.60,-6.85,12.71,18.88,11.93,14.33,6.34,-18.50,-26.29,-37.59,-51.62,-36.66,-18.92,-19.84,-15.24,-40.91,-36.11,-14.81
ROE_qq,,,,,-153.66,-625.76,,,304.95,78.29,,,-38.27,14.07,,,-74.95,-6.61,,,52.92,27.65,31.73,129.96,-44.83,148.12,108.06,-40.07,62.22,2.74,-4.12,-6.19,-70.89,-2.78,-212.38,-1002.12,-75.82,-31.31,-42.28,-66.99,-127.56,-140.09,0.52,172.82,-46.21,-22.80
ROE_sq,,,,,-40.01,-25.79,,,-14.76,19.02,,,5.74,-2.90,,,14.05,6.60,,,8.52,9.48,-21.55,16.90,-4.52,-0.82,-14.23,12.83,7.94,-10.83,3.79,19.01,1.62,-8.93,-3.46,-8.79,-8.08,-22.89,-25.16,19.42,17.66,-23.77,-20.86,-16.75,27.22,1.63
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,47.76,1522.22,-95.39,,,,-10.81,975.76,245.93,,852.27,32.01,-26.37,,-189.58,-446.26,-422.88,,-21.58,74.30,83.52,,106.06,107.36,134.15,201.07,122.89,528.00,136.69,15.85,72.43,-71.34,-76.29,-125.53,-385.27,-1803.33,-2321.79,-2678.57,-254.73,-153.88,-141.20,-73.35,-104.09,10.97,64.64
ROA_sy,,3.64,18.73,-16.13,,,,-39.99,-17.06,70.31,,1.32,6.42,-7.86,,-10.31,-2.97,-2.75,,-8.15,15.17,20.87,,47.02,3.20,-23.27,16.08,-29.42,-20.04,-2.83,33.33,58.55,62.31,32.66,4.30,-26.81,-58.06,-46.88,-57.20,-44.30,9.45,-20.00,-38.55,-43.84,-49.40,-17.86
ROA_qq,,,,,-144.59,-978.79,,,337.88,79.76,,,-39.30,0.26,,,-134.64,6.51,,,50.40,40.06,30.96,129.54,-39.76,178.00,104.32,-34.86,69.73,4.78,,-3.04,-71.79,-13.33,-207.69,-983.33,-68.46,-13.05,-34.68,-38.30,-20.57,-7.40,3.21,-62.83,47.40,57.34
ROA_sq,,,,,-32.56,-41.34,,,-6.80,20.46,,,-2.10,4.29,,,5.92,4.53,,,32.81,9.70,-33.61,52.01,-6.78,-18.44,0.43,-7.58,5.62,-0.89,,9.90,8.12,-18.99,8.35,-22.88,-38.04,2.61,-12.70,0.36,21.74,-25.00,-32.94,-8.28,9.68,21.76
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,855.35,-83.08,,,,-71.60,240.82,316.67,319.17,2752.05,441.92,118.54,-107.03,-143.13,-163.48,-228.34,-2267.57,50.00,81.98,98.59,125.00,146.33,181.16,1035.00,-9.13,-10.10,32.14,30.48,51.26,26.74,-30.63,-9.84,-83.06,-287.76,-692.86,-680.00,-4050.98,-922.02,-502.52,-1247.10,-796.28,81.42,106.04,124.09
OPM_sy,,,24.40,-12.71,,,,1.85,18.63,24.93,9.42,-22.86,-42.18,-33.88,-32.27,-25.88,7.32,4.21,42.94,55.16,25.73,29.87,9.17,12.34,7.97,-22.62,-25.47,-31.19,-19.34,25.78,21.00,27.71,14.67,-5.81,-11.66,-17.62,-8.25,-6.44,4.83,-35.85,-29.84,-38.37,-36.10,-6.86,-10.04,13.70
OPM_qq,,,,,-61.87,-338.78,-2.56,130.42,357.53,51.80,3.75,295.82,-13.06,-38.78,-103.34,-2327.03,-27.95,-23.76,38.40,48.74,53.90,90.34,1195.00,-5.02,-19.23,11.31,6.42,-6.03,18.72,9.91,23.36,-21.26,-35.02,42.86,-76.82,-972.55,-105.17,-39.76,-57.92,-125.71,-20.95,-212.47,-5.07,95.32,139.29,1147.29
