,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
EVEBITDACurrent_sy,-33.83,-0.32,,,,-9.73,-40.28,-26.79,-20.40,-24.16,44.24,-2.45,36.99,21.03,-11.89,-92.70,-104.12,-64.81,191.43,,,-31.15,,51.85,109.83,10.00,15.00,,,,,-20.66,17.75,52.88,-1.84,7.26,-26.74,-52.72,828.71
EVEBITDACurrent_qq,,,105.08,11363.50,-100.69,-956.77,-166.74,-3.19,86.70,552.51,28.40,-236.79,480.59,-103.49,216.54,-28.38,-157.31,-53.17,,,994.49,-67.24,1416.44,-91.45,-13.16,-36.77,,,23.23,-91.47,-113.59,-51.91,204.73,43.96,-10.18,-98.62,4.96,-0.51,0.55
EVEBITDACurrent_sq,,,2.05,18.16,-21.82,-4.24,-32.48,44.84,-15.00,-8.75,28.40,-2.04,19.36,-19.38,-6.53,-91.88,-167.38,788.31,,,-15.73,11.52,3.52,56.07,16.45,-41.53,,,5.00,-2.27,8.98,-29.06,55.84,26.88,-30.02,-22.48,6.44,-18.11,1274.47
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,402.74,-2004.92,,,,95.66,98.23,97.04,,155.91,169.18,142.38,,,-306.73,-668.77,,,,,,-34.85,,-74.26,188.89,-90.70,-625.00,,,,,-95.16,125.48,22.11,109.43,4128.00,190.40,336.21,109.61
ROE_sy,43.05,-25.81,,,,-24.72,-16.03,90.56,,-4.09,3.98,-13.29,,,-191.42,-168.66,,,,,,-46.89,,-94.37,1385.56,-27.41,110.88,,,,,-31.37,-53.87,-53.09,-34.53,-9.52,31.80,34.51,-159.88
ROE_qq,,,-51.16,50.36,48.93,88.66,38.35,17.07,,,-23.72,-49.20,,,,-39.77,,,,,-133.09,195.56,-118.60,537.50,14.29,-90.00,,,-69.63,21.02,-16.32,-84.28,1316.00,-34.46,43.53,217.42,-2.74,-1.56,-31.03
ROE_sq,,,-15.64,-56.75,-349.64,182.64,-5.89,-1.84,,,2.02,-18.14,,,,38.53,,,,,-103.42,1620.00,10.67,-90.22,681.76,-14.17,,,-4.96,3.72,-27.43,-4.07,-36.11,5.47,1.30,32.56,-6.93,7.63,-145.10
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,441.79,-483.84,,,,32.65,62.56,15.89,,145.95,151.41,163.52,,,-629.27,-717.44,,,,,,-34.85,,-74.26,188.89,-90.70,-625.00,,,,,-95.41,269.05,99.03,227.59,4186.36,192.90,336.10,116.14
ROA_sy,85.21,41.66,,,,5.07,11.19,87.68,,-3.80,9.74,-31.76,,,-188.50,-332.21,,,,,,-47.78,,-94.65,774.44,-14.15,127.25,,,,,-11.64,-21.38,-9.16,-38.04,14.75,42.60,15.94,-80.99
ROA_qq,,,3.07,57.16,63.56,-345.11,46.11,3.76,,,-39.71,18.90,,,,-38.71,,,,,-133.09,195.56,-118.60,537.50,14.29,-90.00,,,-82.46,22.62,-15.53,-74.71,1309.09,-33.87,39.02,230.88,-3.71,-1.54,-31.10
ROA_sq,,,-19.63,-38.01,-138.11,653.38,-14.95,4.63,,,-2.97,-34.93,,,,-70.72,,,,,-106.69,688.89,14.91,-88.18,743.06,-25.04,,,-21.60,20.55,8.77,-14.04,-30.24,39.27,-25.81,59.21,-13.31,13.24,-87.84
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,213.73,-224.37,,,,33.17,52.10,-105.00,-733.33,182.71,250.00,292.68,84.21,-562.73,-827.50,-931.65,-6661.11,-73.28,284.47,,,105.29,,165.15,577.55,-88.74,-1501.60,,,,,78.03,116.85,123.09,164.27,6828.22,7888.71,12100.56,14962.60
OPM_sy,27.44,33.49,,,,-32.26,-11.29,106.44,46.88,97.09,95.32,12.48,-6.75,-74.77,-113.83,-164.53,-231.54,-48.94,589.58,,,-43.35,,-58.55,-6.90,-20.40,46.06,,,,,6.16,-6.43,12.92,0.68,-21.85,7.42,3.71,56989.12
OPM_qq,,,16.08,76.05,145.00,-838.89,39.85,-2.50,-39.02,196.49,9.09,31.67,-111.39,-2727.78,-71.51,-50.52,7.38,27.53,,,-139.36,336.54,-79.91,1317.44,-29.10,-94.42,,,-29.93,47.41,55.29,28.11,199.68,-27.94,24.44,7426.76,18.35,10.06,53.63
OPM_sq,,,-22.22,-32.03,5.93,20.96,1.85,58.18,-24.63,62.31,0.94,-8.91,-37.52,-56.07,-155.32,-325.00,-27.38,117.05,,,-25.64,7.76,-35.47,-19.83,67.01,-7.87,,,1.97,7.46,4.78,-7.53,-10.12,29.67,-6.57,-28.23,23.54,25.19,51332.69
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,435.00,-534.33,,,,29.55,49.20,2.83,-74.36,157.07,177.17,252.43,26.47,-417.09,-784.69,-729.30,-1470.00,-35.04,326.35,,,91.36,,125.25,358.50,-88.66,-714.23,,,,,-95.47,131.04,27.79,159.53,5961.35,343.05,594.61,388.87
ROS_sy,47.37,48.88,,,,2.85,46.84,117.65,143.08,79.15,-26.92,-26.20,-52.98,-87.47,-201.55,-292.68,-371.35,-109.09,6157.14,,,-42.45,,-77.78,33.23,-25.41,48.35,,,,,-1.84,-4.42,-17.70,-9.15,7.31,19.57,41.64,36497.15
ROS_qq,,,14.09,57.60,63.21,-425.64,38.05,18.90,33.98,272.06,-16.24,60.20,-131.85,-642.00,-80.86,-47.24,20.55,36.18,,,-161.28,228.48,-127.70,1132.95,-29.67,-94.37,,,-70.53,24.25,-19.05,-84.72,1403.00,-31.27,64.39,256.94,9.86,7.75,15.70
ROS_sq,,,-9.75,-26.58,2.94,50.77,28.86,8.82,14.97,11.12,-47.44,9.91,-26.76,-70.38,-525.97,-108.54,-3.14,99.01,,,-57.62,48.78,-53.89,-23.56,154.07,-16.70,,,-1.84,21.09,-7.87,-10.37,-4.42,4.27,1.71,5.87,6.50,23.51,26179.40
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,372.34,-249.22,,,,41.88,60.87,-30.00,-2800.00,188.29,152.38,253.85,-114.81,-594.90,-2369.70,-1616.25,-801.72,-80.00,-138.03,,,-40.38,,-3273.58,-224875.00,-163.49,52.99,,,,,-65.66,-242.94,-164.62,-153.85,472.61,358.76,361.09,252.69
RS_sy,8.30,50.89,,,,-28.20,0.30,21.07,28.19,15.66,35.05,-4.17,-7.64,1.75,-61.52,-63.94,-60.65,-62.02,205.37,,,-36.91,,-50.61,-50.22,-31.23,100.00,,,,,-6.01,0.88,8.25,8.56,11.70,14.91,16.79,143.13
RS_qq,,,15.71,75.16,105.00,-5650.00,43.24,17.46,-3.85,281.48,-66.33,142.42,-245.00,-318.10,-54.43,-61.95,13.77,16.54,,,100.81,-36562.50,-180.39,-307.52,46.05,57.26,,,222.24,194.61,32.86,-134.62,-5.48,-33.20,-10.70,339.57,-26.75,34.40,-35.26
RS_sq,,,-40.16,2.12,,17.51,-16.41,23.26,5.88,6.02,-2.40,-12.53,2.05,16.79,-63.09,-18.02,11.35,12.74,,,-5.93,-25.87,-30.79,2.33,-5.18,2.40,,,-23.13,14.45,-6.70,14.50,-17.49,22.81,-6.43,17.81,-15.12,24.81,94.80
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,292.16,-398.98,,,,41.64,61.75,31.13,2.63,188.89,240.62,360.27,62.16,-371.71,-625.93,-690.00,-6521.43,-43.10,351.61,,,123.13,,179.14,580.27,-89.39,-529.26,,,,,-95.50,126.26,25.64,154.39,5961.35,343.05,594.61,388.87
GPM_sy,32.71,52.30,,,,9.43,37.50,45.07,61.06,63.19,10.91,29.48,-25.83,-89.57,-144.10,-203.85,-279.39,-88.75,5583.33,,,-61.49,,-71.03,37.40,4.82,38.01,,,,,19.27,11.89,3.08,-4.11,-6.85,-1.91,14.46,28219.35
GPM_qq,,,14.33,57.77,64.15,-350.00,43.86,23.96,49.32,510.81,-11.18,40.74,-107.37,-2850.00,-71.91,-57.89,17.31,36.25,,,-141.24,338.02,-80.71,1374.22,-29.04,-94.74,,,-70.10,23.77,-18.81,-85.02,1403.00,-31.27,64.39,256.94,9.86,7.75,15.70
GPM_sq,,,-6.87,-24.00,-1.15,56.41,17.02,-19.82,9.75,58.47,-20.47,-6.39,-37.13,-77.72,-436.25,-120.45,-8.60,101.40,,,-52.76,0.25,-16.24,-26.97,124.07,-23.52,,,-4.23,18.60,3.21,1.74,-10.16,9.26,-3.99,-1.17,-5.39,27.50,23653.70
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,9.12,-16.01,,,,3.00,9.93,3.42,11.15,40.29,31.05,31.29,9.14,-20.08,-33.55,-55.90,-46.77,-25.37,50.22,,,122.99,,172.80,76.27,-97.63,,,,,,,,,,,,,
RBS_sy,12.45,-3.45,,,,19.80,34.94,39.48,42.46,10.27,6.26,-4.73,3.99,2.03,-0.57,0.51,-5.21,-2.09,-6.59,,,19.11,,3.24,-10.83,-4.79,,,,,,,,,,,,,
RBS_qq,,,1.22,11.22,1.00,-9.41,8.02,4.64,8.55,14.34,0.91,4.83,-9.77,-16.27,-16.10,-30.43,8.91,17.39,,,66.56,-39.65,-76.39,1049.45,7.62,-99.19,,,,,,,,,,,,,
RBS_sq,,,-7.92,5.87,-3.86,27.82,3.71,9.43,-1.80,-1.06,-0.06,-1.88,7.18,-2.91,-2.62,-0.82,1.08,0.28,,,7.75,-8.02,0.56,3.59,-6.94,-1.79,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
