,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OPM_sq,,,-25.64,7.76,-35.47,-19.83,67.01,-7.87,4.86,0.64,-0.63,39.30,1.38,-14.93,10.64,4.33,-23.62,20.66,-29.00,34.33,1.97,7.46,4.78,-7.53,-10.12,29.67,-6.57,-28.23,23.54,25.19
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,467.71,,103.74,1133.33,-25.14,-20.21,-13.30,-34.35,-17.40,-10.59,14.55,3.44,29.97,15.90,-44.11,-70.31,-140.41,-200.75,-275.62,-469.60,-61.58,64.60,87.76,180.30,269.58,506.29,1563.46
ROS_sy,,,,-42.45,,-77.78,33.23,-25.41,90.22,83.72,15.33,48.35,47.66,109.49,48.61,18.52,-6.17,-26.89,-50.33,-6.41,-0.84,47.11,76.34,-1.84,-4.42,-17.70,-9.15,7.31,19.57,41.64
ROS_qq,,,-128.04,1008.33,-11.01,-10.10,42.20,-34.19,-5.15,-2.33,7.67,-17.20,2.67,25.14,-2.77,4.04,-8.45,-39.65,-48.35,-241.60,-128.25,-5.20,-8.71,38.10,50.00,63.64,813.46,30.73,19.79,30.98
ROS_sq,,,-57.62,48.78,-53.89,-23.56,154.07,-16.70,17.58,-26.17,59.49,7.14,17.04,4.75,13.14,-14.55,-7.34,-18.38,-23.14,61.02,-1.84,21.09,-7.87,-10.37,-4.42,4.27,1.71,5.87,6.50,23.51
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,-9.49,,-18.28,-53.31,1.78,-4.62,1.78,57.10,-15.18,5.62,27.43,35.22,9.67,-7.71,-51.30,-81.89,-119.89,-173.36,-235.42,-480.77,-132.08,68.56,105.32,138.38,205.69,400.86,2178.26
RS_sy,,,,-36.91,,-50.61,-50.22,-31.23,0.42,-25.05,-1.75,100.00,89.87,130.94,119.11,-8.96,-25.33,-4.07,-23.53,3.28,0.89,-3.24,-3.98,-6.01,0.88,8.25,8.56,11.70,14.91,16.79
RS_qq,,,17.15,-22.24,-3.91,-6.65,-33.07,69.53,-9.95,-0.39,3.31,-8.47,12.14,20.18,9.62,-25.77,-5.63,-36.58,-59.25,-181.54,-248.11,-17.07,-14.58,50.30,52.85,119.83,726.09,36.84,34.23,50.14
RS_sq,,,-5.93,-25.87,-30.79,2.33,-5.18,2.40,1.07,-23.63,24.31,108.44,-4.05,-7.11,17.94,-13.39,-21.31,19.35,-5.99,16.98,-23.13,14.45,-6.70,14.50,-17.49,22.81,-6.43,17.81,-15.12,24.81
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,,423.62,,78.91,1134.33,-24.51,-16.43,-4.88,-30.88,-21.91,-14.59,8.12,12.94,31.63,25.50,-34.19,-61.00,-129.84,-176.13,-228.53,-324.64,-61.04,69.43,101.87,191.77,316.13,625.42,9650.00
GPM_sy,,,,-61.49,,-71.03,37.40,4.82,,51.04,0.37,38.01,136.97,98.08,51.85,31.93,-20.72,-9.02,-48.72,-8.91,5.81,18.60,90.28,19.27,11.89,3.08,-4.11,-6.85,-1.91,14.46
GPM_qq,,,-124.36,1092.54,-14.89,-13.07,40.85,-27.56,-5.78,-1.06,2.35,-18.16,3.06,25.25,6.92,-4.62,-1.74,-34.32,-36.64,-172.99,-150.65,-10.88,-10.75,47.68,52.42,106.78,5337.50,23.22,15.67,25.81
GPM_sq,,,-52.76,0.25,-16.24,-26.97,124.07,-23.52,-20.10,10.30,48.90,5.17,37.19,-7.80,14.15,-8.63,-17.55,5.81,-35.67,62.32,-4.23,18.60,3.21,1.74,-10.16,9.26,-3.99,-1.17,-5.39,27.50
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,-57.45,-64.89,-0.10,22.16,35.79,64.88,4.13,-1.27,0.10,-1.69,-1.65,0.77,1.75,3.69,0.41,2.89,5.42
RBS_sy,,,,,,,,,,,,,,-1.55,-14.20,-8.68,-6.33,4.92,18.71,6.78,16.97,15.99,13.34,2.48,-6.69,-14.28,-16.01,2.96,3.29,13.19
RBS_qq,,,,,,,,,,,,-42.37,-16.05,-12.05,-17.49,63.97,2.66,-2.23,0.19,3.56,-2.67,-0.87,-1.61,3.60,-0.27,0.09,0.27,0.32,2.20,2.55
RBS_sq,,,,,,,,,,,,8.49,-3.85,-7.74,-10.86,15.48,-1.37,3.34,0.85,3.88,8.04,2.48,-1.46,-6.07,-1.63,-5.85,-3.45,15.14,-1.32,3.17
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,,,9.49,,-22.02,-56.99,7.92,-21.77,-5.53,41.25,-29.70,-4.20,7.38,41.05,48.78,16.06,-32.82,-66.21,-108.66,-156.73,-200.00,-284.97,-278.48,65.63,104.59,142.19,255.85,484.52,3484.62
ROPA_sy,,,,-21.49,,-59.89,-33.97,-26.58,-6.04,31.33,19.40,41.97,33.68,49.11,35.95,40.88,17.88,11.15,3.78,2.34,46.98,30.40,26.67,-5.10,-33.96,-18.61,-51.20,-17.65,0.17,20.49
ROPA_qq,,,12.00,-32.38,13.12,-8.97,-38.22,69.65,-18.00,9.93,-7.63,-15.56,11.75,23.21,21.33,-10.94,-12.83,-28.68,-38.98,-122.83,-470.89,-25.72,-12.87,53.28,48.16,116.77,938.46,72.59,27.90,56.38
ROPA_sq,,,-19.12,-6.12,-27.11,-27.54,33.17,4.38,-6.71,1.29,21.07,24.11,-12.16,12.98,10.38,28.60,-26.50,6.53,3.06,26.82,5.57,-5.49,0.12,-4.99,-26.54,16.47,-39.97,60.34,-10.64,40.10
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,,,,,,,,,,266.10,165.29,-59.88,263.14,-10.45,-18.55,176.52,17.67,-127.08,-38.88,-36.57,167.65,-410.58,-1369.44,-164.94,-104.66,240.83,110.91,203.93,492.70
ZNPO_sy,,,,,,,,,,,141.17,509.66,-20.62,406.64,-32.96,5.27,13.15,-5.70,52.57,31.63,52.13,27.79,-39.54,-46.91,-43.35,0.95,-24.57,76.03,22.01,-21.02
ZNPO_qq,,,,,,,,-43.86,8.76,30.28,281.51,-43.45,-323.41,171.14,-0.37,-48.57,109.90,9.40,-122.93,216.07,117.80,361.64,-143.75,-188.59,88.86,66.90,1423.38,-77.65,6.15,25.06
ZNPO_sq,,,,,,,,-71.64,541.56,-79.03,531.97,-28.30,-16.46,33.84,-16.38,12.59,-10.21,11.55,35.30,-2.87,3.78,-6.30,-35.98,-14.72,10.74,66.99,-52.17,99.02,-23.25,8.10
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,182.90,138.71,-78.00,-88.77,-1.85,66.72,38.99,-9.76,-18.57,-26.62,-20.40,-2.07,-32.07,-78.23,-69.49,-81.44,-113.38,3204.84,390.18,762.39
ZFI_sy,,,,,,,,,,,-17.89,817.21,-11.55,16.60,69.86,-25.54,14.05,-14.88,-3.36,69.62,-16.09,3.20,-28.23,-18.24,-3.04,-9.78,22.17,3.65,1.72,12.97
ZFI_qq,,,,,,,,-55.38,298.90,134.22,-88.55,-27.44,13.05,19.52,0.11,23.25,-5.76,-22.39,-9.67,11.07,2.23,-4.52,-37.34,-64.41,43.25,-41.91,-145.18,8889.28,-78.75,2.20
ZFI_sq,,,,,,,,-89.14,1234.48,-19.74,-29.38,21.27,28.69,5.80,2.88,-46.84,97.12,-21.04,16.80,-6.70,-2.49,-2.88,-18.78,6.29,15.65,-9.63,9.98,-9.82,13.50,0.36
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,,,-4.60,,-14.97,-29.87,-30.63,-7.71,-12.65,5.13,18.82,8.40,11.22,-1.88,-11.03,0.97,6.17,-16.00,-9.71,-13.08,-11.08,27.68,28.96,11.33,0.42,-13.62,-18.09,-12.56,-6.15
DTAR_sy,,,,-6.73,,0.25,8.44,-7.48,0.45,-3.17,5.05,15.87,6.64,4.82,5.06,-6.41,-0.58,1.94,-4.72,-8.89,-10.76,-5.56,-4.08,4.78,4.43,1.44,3.27,5.37,11.12,0.67
DTAR_qq,,,7.59,-4.60,-17.31,0.18,-11.26,-5.63,10.00,-5.18,6.80,6.66,0.35,-2.71,-5.78,-3.28,13.88,2.30,-25.46,3.97,9.63,4.65,7.04,5.01,-5.36,-5.60,-7.92,-0.43,1.04,1.31
