,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_sy,,-77.36,78.20,,49.65,,,-20.07,-69.49,-72.98,-73.21,-96.64,-78.99,451.96,394.27,2596.91,1337.99,37.75,17.74,27.95,24.46,-57.98,1.24,-1.83,75.95,6.65,-14.88,-11.96,13.07,63.83,-8.33,29.70,-69.03,-50.24,-44.57,-56.87,25.24,-49.29,-52.08,-38.78,-28.79,18.71,15.51,11.08,-44.49,-27.20,-14.19
EVEBITCurrent_qq,,,,,231.69,-18.79,-21.76,40.49,-133.78,20.82,-13.55,0.92,-956.27,168.16,550.34,-95.22,7.34,23.70,-30.12,187.96,-43.33,-821.50,125.82,-41.74,-17.41,-54.04,-10.02,-52.20,-4.70,3.57,-29.92,-53.15,10.96,36.16,-24.41,-1.36,3.36,23.83,-3.81,8.23,6.79,29.70,-23.14,-35.34,22.77,27.40,6.15
EVEBITCurrent_sq,,,,,-24.27,5.41,-1.17,1.30,-71.09,-6.64,-2.04,-87.29,80.78,2352.15,-12.27,-30.65,-3.61,134.91,-25.02,-24.64,-6.23,-20.70,80.67,-26.93,68.06,-51.93,44.20,-24.42,115.84,-30.35,-19.31,6.93,-48.45,11.88,-10.11,-16.79,49.66,-54.70,-15.05,6.31,74.06,-24.47,-17.34,2.23,-13.02,-0.94,-2.57
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-73.15,-49.29,,49.19,,,161.96,-137.80,-135.71,-151.10,-137.63,-1801.31,646.15,1292.33,284.16,108.98,-51.37,-86.12,107.54,32.46,981.88,138.12,-34.89,-16.11,-95.47,-74.63,-78.63,-76.52,-54.38,-63.38,-66.55,-60.80,-48.77,-45.26,11.79,3.40,-6.00,18.31,29.45,33.53,39.58,12.27,-31.26,-20.80,-22.35,6.75
EVEBITDACurrent_sy,,-59.45,27.88,,78.98,,,-13.22,-68.03,-71.87,-73.11,-96.56,88.31,227.98,260.07,2255.18,40.32,26.11,22.28,36.53,34.50,3.68,0.47,162.83,29.66,17.08,-19.51,-63.98,-25.96,-29.73,-13.59,-15.70,23.43,-28.84,-29.65,-29.63,-46.15,-25.29,-13.11,-8.78,-7.95,39.58,12.27,-12.98,-29.94,-30.16,-15.27
EVEBITDACurrent_qq,,,,,194.37,-17.40,-19.97,34.62,-142.48,21.98,-14.53,0.86,-2046.46,122.41,150.04,-84.69,4.68,21.35,-28.62,128.89,-33.19,891.08,-84.29,-37.41,-13.92,-46.45,-12.08,-47.28,-5.41,4.05,-29.42,-51.84,10.84,35.96,-24.58,-1.63,2.52,23.60,-5.08,7.63,5.75,29.19,-23.65,-34.10,21.83,26.67,4.96
EVEBITDACurrent_sq,,,,,-12.02,3.57,-0.97,-3.83,-67.59,-8.86,-5.34,-87.71,1676.36,58.74,3.92,-19.62,5.83,42.66,0.76,-10.26,4.26,9.97,-2.36,134.78,-48.57,-0.70,-32.87,5.06,5.72,-5.76,-17.45,2.49,54.79,-45.67,-18.39,2.52,18.46,-24.63,-5.08,7.63,19.55,14.28,-23.65,-16.57,-3.76,13.93,-7.37
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,34.49,17.11,,-85.01,,,,-662.44,-723.43,-491.88,,113.60,127.18,122.35,,40.90,-50.84,-4.92,,-32.84,-152.61,-90.59,,24.29,484.41,1274.77,422.20,253.17,53.13,110.29,65.51,47.54,38.51,76.53,-8.81,0.71,12.71,-25.97,-20.01,-27.64,-31.56,-8.68,15.93,14.67,5.15,-20.23
