,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OPM_sy,,66.48,-3.94,,,,-43.07,-1.32,-49.53,-46.59,3.14,-44.18,-29.24,-12.78,-12.68,24.79,31.68,12.74,15.54,10.17,21.58,17.14,18.71,10.45,12.38,-4.34,0.99,-3.00,-13.04,-1.34,1.63,14.80,40.50
OPM_qq,,,,55.08,-33.10,0.24,-86.86,-292.79,-88.08,220.12,67.22,-1.18,14.27,-40.85,59.81,228.04,1.89,-50.88,5.05,-81.26,102.87,165.28,-42.92,16.69,-22.65,-122.95,382.82,-22.91,-4.26,153.44,-34.35,14.27,-8.66
OPM_sq,,,,-12.47,41.69,-5.87,-51.24,51.72,-27.54,-0.37,-5.83,-17.90,-8.14,22.82,-5.73,17.34,-3.07,5.15,-3.39,11.89,6.97,1.30,-2.09,4.11,8.83,-13.77,3.36,,-2.44,-2.17,6.47,12.96,19.41
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-81.31,110.34,,,,-165.66,-171.15,-199.16,-88.03,163.36,135.33,136.26,563.16,151.05,893.20,724.35,368.45,55.21,-97.80,-89.32,1.44,-50.87,970.45,40.31,-132.73,-52.66,-72.12,-60.96,308.67,55.61,162.94,124.62
ROS_sy,,206.88,24.74,,,,-64.82,-30.91,-58.29,-79.84,16.81,-33.19,-1.89,156.25,3.83,-18.55,-40.54,-25.00,9.65,47.64,124.68,49.59,19.04,43.09,28.18,-14.54,15.73,1.98,-7.55,25.28,-11.73,13.00,11.46
ROS_qq,,,,61.22,-6.21,-71.78,-253.86,-74.72,-30.70,103.41,714.47,-2.58,34.16,-37.70,208.33,285.39,11.35,-64.60,2.16,-94.53,439.39,236.38,-50.52,19.24,-29.30,-178.48,171.56,-29.77,-1.02,319.49,-46.64,18.67,-15.44
ROS_sq,,,,-23.95,24.61,0.32,-62.99,49.36,-24.79,-51.52,114.45,-14.57,10.45,26.64,-13.11,-32.98,-19.37,59.74,27.03,-9.76,22.70,6.36,1.09,8.47,9.91,-29.09,36.88,-4.41,-0.36,-3.90,-3.55,22.37,-1.72
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-181.98,257.06,,,,-24.16,-39.11,-27.73,-38.71,15.88,34.35,49.72,-38.03,-36.95,-52.68,-71.46,-13.47,-18.39,-7.08,97.40,30.47,21.43,53.74,2.78,-14.70,26.77,6.71,21.85,74.20,2.99,8.63,-1.73
RS_sy,,47.16,6.78,,,,-12.57,9.89,-30.61,-27.75,-34.40,-50.12,-45.55,-32.94,-21.41,14.96,25.24,19.16,35.53,16.13,18.23,12.94,15.05,16.11,12.42,4.42,2.78,-4.63,-13.50,-16.30,0.66,7.69,3.17
RS_qq,,,,10.62,-21.14,59.36,-45.44,-11.19,-6.39,35.15,3.14,2.96,4.32,-44.06,4.93,-22.73,-37.08,69.61,-1.04,-12.02,33.67,12.10,-7.90,11.40,-10.64,-6.96,36.88,-6.22,2.03,33.01,-19.08,-1.08,-7.70
RS_sq,,,,-12.46,49.19,-14.90,-21.34,10.04,-5.80,-11.39,-28.58,-16.34,2.84,9.13,-16.30,22.37,12.04,3.84,-4.81,4.85,14.07,-0.81,-3.03,5.82,10.45,-7.87,-4.55,-1.81,0.17,-10.85,14.79,5.06,-4.04
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-245.14,101.22,,,,-718.75,-269.74,-374.39,115.63,173.65,146.04,145.60,1507.55,86.97,614.62,573.10,191.78,44.50,-100.36,-91.96,0.48,-45.35,6981.82,97.66,-136.31,-64.24,-79.66,-73.66,271.89,89.39,234.42,203.46
GPM_sy,,707.45,15.54,,,,-66.18,-37.78,-42.33,-55.72,38.58,-41.41,-19.81,73.31,-4.83,-26.48,-28.50,-34.47,6.57,86.53,110.63,80.60,33.47,46.39,38.19,-8.78,3.15,-10.63,-16.51,13.48,-1.83,42.89,14.51
GPM_qq,,,,469.79,-25.05,-141.34,-250.44,-56.31,-21.16,102.36,1550.94,-2.29,20.00,-16.96,92.02,273.47,13.03,-64.00,-4.91,-100.93,2622.73,350.09,-48.28,17.18,-27.54,-182.68,150.94,-33.33,-6.17,439.45,-43.87,17.71,-14.85
GPM_sq,,,,-4.13,-13.06,-14.86,-52.35,76.38,-19.42,-34.63,49.15,-25.43,10.29,41.28,-18.09,-42.39,7.25,29.47,33.21,0.84,21.11,11.01,-1.55,10.60,14.33,-26.72,11.33,-4.17,6.79,-0.40,-3.69,39.48,-14.41
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-737.95,116.40,,,,-83.58,-120.94,-160.54,,979.55,613.48,414.56,,-12.84,19.04,-30.18,66.85,145.17,-75.18,-12.10,229.14,-40.79,428.15,74.75,-110.56,-46.92,-64.24,-54.60,728.57,36.36,84.31,69.01
ROPA_sy,,-1.38,-1.27,,,,-13.24,-12.82,-43.15,,-12.38,-22.54,-8.04,,-4.80,36.60,23.93,17.25,23.06,-4.12,12.18,21.28,21.24,17.60,2.36,-1.68,4.38,8.19,15.56,16.93,-14.69,-3.50,-6.76
