,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_sq,,,,-50.80,-43.29,-61.34,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-91.56,42.58,,,,2270.33,553.52,511.38,-10.23,229.24,-1860.98,-182.06,-2926.43,-96.33,100.82,120.84,103.80,3447.60,59.08,160.93,89.19,-25.52,1675.25,13885.24,-2935.87,-157.72,-142.97,-103.38,81.14,-603.58,-774.10,-1009.85
EVEBITDACurrent_sy,,40.54,679.79,,,,7.14,489.86,616.32,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,,312.97,4.47,0.18,448.41,13.86,-2.26,-85.29,1911.29,-708.98,95.45,-406.64,102.61,36.95,15.15,-7.71,2337.61,-93.86,88.87,-33.08,859.59,46.38,1387.91,-113.57,80.47,-8.97,-17.20,24.38,-628.51,-35.38,-48.81
EVEBITDACurrent_sq,,,,-83.75,0.86,178.78,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,60.84,-11.14,,,,-60.30,,,,-2.66,-19.23,-29.14,,-60.48,-57.73,-65.95,-78.55,-49.29,-52.53,-0.36,103.29,8.06,-84.37,-196.87,-214.27,-183.85,-150.00,141.12,144.29,20.39,-968.18,-137.46
ROE_sy,,-64.50,318.58,,,,-2.80,,,,-1.44,-45.01,-58.23,,9.02,155.07,70.10,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,,,,,,-0.63,-0.52,,,-17.54,-12.72,-7.47,-40.64,-11.82,-29.68,-41.73,40.33,-17.45,47.60,18.89,-25.40,-88.06,-1014.77,-40.25,45.26,92.88,852.27,51.06,-198.40,4.47,73.62
ROE_sq,,,,,,,,-27.76,105.16,,,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,28.41,-1.05,,,,-73.73,,,,36.30,6.11,-6.24,,-57.17,-55.67,-65.46,-78.47,-54.33,-53.50,-7.89,90.25,13.47,-84.66,-193.63,-209.42,-183.30,-148.21,142.77,144.86,22.69,-940.74,-137.31
ROA_sy,,-8.75,170.96,,,,-40.95,,,,3.77,-25.62,47.68,,22.11,34.21,-2.09,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,,,,,,10.97,0.84,,,-13.61,-10.90,-6.40,-40.56,-10.59,-30.57,-41.65,26.10,-8.98,37.53,20.52,-24.79,-87.69,-939.29,-40.85,42.75,92.88,844.44,47.76,-198.65,4.10,73.31
ROA_sq,,,,,,,,-3.77,-30.96,,,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,54.10,1.71,,,,-12.95,-10.69,-9.68,-18.02,-109.74,-128.78,-137.28,-140.97,724.81,293.86,215.71,166.94,-98.45,-101.01,-76.75,-25.00,1192.00,-5513.33,-978.24,-761.70,-1591.02,-333.49,-14.08,20.12,83.26,79.45,74.13
OPM_sy,,-104.73,937.69,,,,-105.88,8155.00,6704.88,-5.58,5571.88,203.45,15.47,-79.95,4.20,-48.82,-44.34,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,,-2.17,-2.79,-1.00,-7.54,0.38,-1.69,-10.14,-110.99,-196.51,-27.32,1.23,267.57,-8.00,-24.01,-42.86,-96.12,-160.00,1846.67,84.35,-33.13,-360.68,-173.28,-38.90,-50.69,24.21,28.08,2.74,68.43,6.95,9.47
OPM_sq,,,,-98.16,-510.00,7154.88,-101.11,2679.69,228.04,0.85,-35.88,43.06,24.83,-82.49,233.24,-29.73,35.76,-3.62,77.76,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,53.09,-0.37,,,,-9.12,-5.74,-5.18,-11.74,24.22,11.28,2.57,6.80,-53.33,-53.14,-60.37,-73.22,-41.69,-33.65,3.67,81.15,19.89,-85.51,-201.39,-233.65,-184.42,-143.75,138.79,138.57,31.34,-900.00,-134.88
ROS_sy,,-80.35,923.41,,,,4.62,-3.90,-23.84,-21.34,-22.87,-30.21,19.97,-3.91,12.40,-14.90,-55.58,-40.56,-60.90,-41.79,-44.43,-82.28,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20,-99.28
ROS_qq,,,,-2.15,-1.48,-0.09,-5.66,1.50,-0.90,-7.00,32.78,-9.07,-8.65,-3.17,-41.97,-8.70,-22.75,-34.56,26.32,3.90,20.70,14.36,-16.40,-87.44,-944.64,-50.74,47.19,93.49,848.98,49.86,-194.00,5.22,73.88
ROS_sq,,,,9.91,10.75,-4.60,-9.91,0.96,-12.23,-1.47,-11.66,-8.65,50.89,-21.08,3.34,-30.85,-21.24,5.60,-32.02,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70,-99.38
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,54.37,2.68,,,,-16.66,-14.36,-16.16,-17.91,-25.55,-39.44,-41.67,-35.31,-20.70,-7.68,-24.07,-72.67,-85.75,-90.42,-63.96,97.26,85.58,-650.36,-553.33,-427.36,-645.61,-49.87,69.17,95.49,106.89,118.32,149.72
RS_sy,,-44.67,-2.84,,,,-173.67,-15.16,-125.95,119.59,187.73,615.55,429.13,3040.79,461.32,-57.89,-49.58,-29.28,105.43,119.10,-18.33,9.12,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31,-82.12
RS_qq,,,,-2.61,-2.44,-4.94,-7.73,0.08,-4.50,-6.92,-16.31,-18.60,-8.01,3.23,2.58,-5.24,-24.34,-62.85,-46.52,-36.28,184.67,103.33,-49.68,-288.97,-134.48,-46.83,16.14,48.09,51.77,78.53,228.21,38.00,30.92
RS_sq,,,,-182.45,6.13,33.33,-42.78,-28.88,-84.17,105.78,539.47,657.41,17.58,-44.85,14.29,-43.18,40.77,-22.64,231.99,-39.40,-47.53,3.37,239.09,-84.44,269.96,3.64,5.88,-48.58,-28.04,-23.49,199.46,-53.48,-83.23
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,52.42,-0.27,,,,-10.10,-8.82,-12.78,-24.61,-21.62,-33.38,-34.22,-27.11,-32.25,-29.33,-48.77,-73.07,-32.50,-13.75,64.71,292.61,-42.99,-159.58,-251.32,-272.24,-311.21,81.08,155.88,151.50,115.58,252.85,-105.64
GPM_sy,,14.43,121.61,,,,-19.39,0.91,-17.54,-24.01,-15.19,-45.15,-3.88,-11.47,-3.35,14.48,-40.08,-10.24,-52.68,-38.38,-29.70,-111.38,-11.80,-130.89,-87.59,424.13,-5.67,298.22,396.00,17.34,-14.87,,-74.68
GPM_qq,,,,-2.09,-1.53,0.83,-7.52,-0.70,-5.81,-12.84,-3.85,-15.61,-6.98,-3.42,-10.63,-11.97,-32.57,-49.24,124.02,12.47,28.78,21.00,-67.47,-217.54,-227.08,-37.72,60.11,89.47,1065.85,26.94,-87.93,3.30,-135.64
GPM_sq,,,,-9.94,7.95,-2.98,-14.52,12.73,-11.79,-10.60,-4.61,-27.09,54.57,-17.65,4.14,-13.63,-19.09,23.35,-45.10,12.47,-7.70,-119.96,525.62,-139.39,137.09,421.20,23.87,-17.22,-7.19,23.31,-10.14,-2.77,-76.50
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,29.23,1.04,,,,-74.85,,,,-110.72,-127.44,-134.11,,671.65,283.30,200.74,153.87,-98.74,-100.70,-79.33,-21.26,1078.57,-5957.14,-911.35,-641.24,-1568.48,-368.16,-25.61,7.01,81.14,78.34,72.30
ROPA_sy,,-107.57,272.97,,,,-200.00,,,,735.94,937.50,88.79,,-23.96,-12.49,2.41,627.59,17.61,-23.15,-13.64,-12.80,-41.48,-49.19,-29.95,-15.04,5.63,25.00,-116.06,-33.90,-8.00,1.03,-77.42
