,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_yy,,360.47,550.51,,371.58,,,103.59,52.75,6.43,-18.47,-39.76,-15.35,-0.98,17.02,60.63,11.68,-5.27,-5.84,-7.24,13.15,30.78,24.63,12.45,-40.15,-45.49,-30.00,-31.31,37.42,35.67,13.17,4.85,-12.19,9.31,-2.95,14.95,-6.61,-17.74,-2.06,21.42,41.74,24.85,20.18,-31.75,-29.01,40.26,16.17
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,29.87,31.26,10.81,7.78,-2.56,-8.54,-15.12,-20.37,36.92,6.99,0.31,9.31,-4.81,-9.25,-0.29,7.69,16.11,4.90,-4.98,-2.84,-38.20,-4.48,22.03,-4.65,23.64,-5.70,1.79,-11.66,3.55,17.40,-9.63,4.63,-15.87,3.41,7.60,29.71,-1.79,-8.92,3.58,-26.33,2.15,79.94,-14.21
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-78.11,-84.63,,-78.79,,,-50.88,-34.53,-6.05,22.66,66.01,18.13,0.99,-14.55,-37.75,-10.45,5.56,6.20,7.80,-11.62,-23.53,-19.76,-11.07,67.06,83.47,42.86,45.58,-27.23,-26.30,-11.63,-4.62,13.88,-8.52,3.03,-13.00,7.08,21.56,2.11,-17.64,-29.45,-19.90,-16.79,46.51,40.86,-28.70,-13.91
CZOCurrent_sy,,-24.86,-58.52,,-22.02,,,-34.47,-34.71,-27.46,-19.71,3.64,18.63,13.07,16.03,21.81,57.68,34.33,71.61,34.05,18.95,21.37,2.06,19.73,59.79,69.89,121.08,86.02,-22.70,-25.75,-41.78,-51.10,11.01,-1.42,-10.43,-3.35,-47.59,-43.44,-41.70,-37.09,25.41,30.46,64.42,111.46,24.72,17.66,7.53
CZOCurrent_qq,,,,,-23.00,-23.82,-9.76,-7.21,2.63,9.33,17.81,25.59,-26.97,-6.53,-0.31,-8.52,5.05,10.19,0.29,-7.14,-13.87,-4.67,5.24,2.92,61.81,4.69,-18.06,4.88,-19.12,6.04,-1.76,13.20,-3.43,-14.82,10.65,-4.42,18.87,-3.30,-7.06,-22.91,1.82,9.79,-3.45,35.75,-2.11,-44.43,16.58
CZOCurrent_sq,,,,,-16.51,3.50,-13.30,-12.54,-16.80,14.99,-4.04,12.89,-4.77,9.60,-1.53,18.51,23.27,-6.63,25.80,-7.43,9.39,-4.73,5.79,8.60,45.99,1.30,37.67,-8.63,-39.33,-2.71,7.95,-23.26,37.74,-13.60,-1.92,-17.20,-25.31,-6.76,1.09,-10.65,48.90,-3.01,27.41,14.92,-12.18,-8.50,16.44
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
