,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_sq,,,,,55.02,-43.17,12.82,23.26,15.96,5.35,16.34,-39.95,135.72,-5.12,-65.68,73.33,-9.56,33.62,-14.59,47.89,-9.33,22.01,9.59,-8.15,-12.27,-13.87,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-23.85,-44.52,-44.21,,,,90.37,75.50,79.26,99.84,-14.83,-11.58,7.38,-41.87,-13.90,10.67,-28.39,-29.45,-19.77,-38.72,-29.32,8.63,-8.90,-16.02,-18.35,-14.50,-13.59,-5.96,-23.87,-30.07,-38.77,-41.60,-28.66,-15.56,20.48,50.58,32.02,24.81,-4.02,-26.43,5.99
EVEBITCurrent_sy,,-79.57,17.37,-101.94,,,,-1827.99,-1121.59,-82.50,-21.92,202.54,134.97,120.98,270.00,-71.94,38.67,344.97,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,,,-0.05,6.33,5.24,70.22,-7.86,8.60,17.32,-27.46,-4.34,31.89,-36.48,7.44,22.97,-14.66,-37.42,22.17,-6.08,-1.58,-3.81,2.46,-13.41,-4.31,0.72,3.55,-5.77,-22.54,-7.47,-9.33,-10.13,-5.37,9.52,29.36,12.31,-17.04,3.54,-0.51,-13.91,19.52
EVEBITCurrent_sq,,,,,-127.68,-532.93,92.86,-1774.02,-44.26,5.44,95.23,1676.25,-50.80,-43.29,-61.34,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-22.57,-43.04,-43.25,,,,84.86,69.03,71.81,92.49,-13.66,-9.03,11.78,-38.99,-12.19,12.65,-27.30,-28.54,-18.52,-38.04,-28.74,9.34,-8.50,-15.58,-17.96,-14.20,-13.45,-6.00,-23.87,-30.02,-38.63,-41.44,-28.53,-15.52,20.42,50.15,31.89,24.79,-4.00,-26.21,5.71
EVEBITDACurrent_sy,,-58.93,-19.19,-94.57,,,,40.54,1971.49,438.55,3605.53,679.79,24.23,-88.78,-3.52,7.14,489.86,616.32,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,,,0.03,6.26,4.43,66.54,-8.54,8.01,17.00,-25.30,-3.64,32.71,-36.14,7.52,23.63,-14.36,-37.23,22.60,-5.99,-1.51,-3.68,2.59,-13.27,-4.28,0.73,3.49,-5.80,-22.47,-7.41,-9.25,-10.11,-5.37,9.44,29.36,12.07,-16.88,3.55,-0.49,-13.85,19.07
EVEBITDACurrent_sq,,,,,-107.66,3979.25,-104.98,1049.02,2.02,1016.32,-67.57,111.11,-83.75,0.86,178.78,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-8.01,39.55,32.75,,,,-83.65,-61.79,,,7.19,,,,,,-180.31,,,1333.33,145.64,,13.77,20.07,16.83,5.37,-3.73,-19.16,-4.73,18.20,50.18,56.37,38.01,7.97,-3.46,-20.24,-3.13,-1.10,-7.51,26.90,-17.45
ROE_sy,,13.19,-57.87,-42.69,,,,-64.50,191.65,,,318.58,,,,,,44.21,,,-45.01,-58.23,,9.02,155.07,70.10,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,,,-3.63,-8.95,-8.84,-79.56,125.26,,,,,,,,,-3298.25,,,8.21,1.84,5.29,-1.94,14.20,-0.92,-5.04,-10.40,-4.11,16.77,17.82,13.84,-0.16,3.06,-7.82,1.78,-17.51,25.18,-5.90,-4.81,13.17,-18.57
ROE_sq,,,,,-49.05,19.93,-227.27,145.65,318.58,,,,,,,,,105.16,,,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
