,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CRZ_yy,,-4.98,-26.35,,,44.27,,11.00,-31.58,-4.79,29.87,82.10,62.50,29.78,10.48,-12.67
CRZ_sy,,-21.30,-12.99,,,12.13,,-23.31,-12.78,-5.96,1.63,24.44,13.09,-4.28,-3.21,-20.12
CRZ_qq,,,,,74.71,-31.39,-6.44,-1.02,7.69,-4.53,27.63,38.78,-3.90,-23.75,8.65,9.69
CRZ_sq,,,,,-7.22,2.93,-6.38,-14.22,5.53,10.97,1.18,5.03,-4.09,-6.08,2.31,-13.33
RMO,,,,,,,,,,,,,,,,
RMO_yy,,8.82,22.26,,,-27.77,,-5.86,39.42,1.91,-23.30,-43.81,-35.39,-16.55,-4.67,20.96
RMO_sy,,4.60,21.01,,,-4.34,,-16.25,12.72,-3.00,4.17,4.97,6.12,10.98,14.00,12.96
RMO_qq,,,,,-37.99,44.24,6.70,-1.36,-8.16,5.43,-19.70,-27.72,5.59,36.18,-8.28,-8.29
RMO_sq,,,,,-19.41,12.58,-7.84,0.16,8.47,-3.13,-1.02,0.93,9.66,1.31,1.67,0.01
RMT,,,,,,,,,,,,,,,,
RMT_yy,,2.82,-5.99,,,-4.22,,46.53,131.86,27.13,-24.99,-51.56,-53.47,-30.78,-7.26,27.55
RMT_sy,,3.84,-25.01,,,31.67,,23.45,0.76,33.26,26.15,17.42,-2.86,25.23,-16.04,15.35
RMT_qq,,,,,-33.54,66.14,22.31,8.51,5.16,-8.91,-27.83,-29.93,1.01,35.52,-3.31,-3.63
RMT_sq,,,,,34.04,-10.63,0.46,2.59,9.40,18.19,-4.90,-4.51,-9.49,52.37,-36.24,31.19
RM,,,,,,,,,,,,,,,,
RM_yy,,8.30,19.18,,,-25.76,,-2.30,44.98,3.63,-23.43,-44.41,-36.87,-17.71,-4.87,21.46
RM_sy,,18.32,-4.83,,,5.32,,26.07,5.30,31.88,9.44,-15.98,-17.64,4.29,1.44,32.80
RM_qq,,,,,-37.57,46.12,7.84,-0.69,-7.36,4.44,-20.31,-27.90,5.21,36.13,-7.87,-7.95
RM_sq,,,,,4.60,-4.29,10.17,14.30,-12.63,19.86,-8.57,-12.25,-14.35,51.77,-11.07,14.88
COP,749000,711000,539000,658000,1143000,785000,726000,717000,771000,742000,960000,1320000,1289000,979000,1063000,1174000
COP_yy,,-5.07,-24.19,,,45.64,,8.97,-32.55,-5.48,32.23,84.10,67.19,31.94,10.73,-11.06
COP_sy,,-27.38,-6.57,,,-6.44,,-18.25,-27.51,-4.08,8.61,26.43,-0.42,-0.80,-14.88,-28.55
COP_qq,,,,,73.71,-31.32,-7.52,-1.24,7.53,-3.76,29.38,37.50,-2.35,-24.05,8.58,10.44
COP_sq,,,,,11.20,-19.73,-3.82,-4.77,-1.39,6.21,8.90,10.85,-22.33,5.81,-6.56,-6.95
CSP,565000,609000,482000,569000,986000,683000,645000,634000,678000,640000,794000,1037000,967000,754000,834000,913000
CSP_yy,,7.79,-20.85,,,41.70,,11.42,-31.24,-6.30,23.10,63.56,42.63,17.81,5.04,-11.96
CSP_sy,,-45.12,2.04,,,22.44,,-37.21,-28.04,-27.59,13.11,41.88,21.15,-17.29,-24.88,-33.52
CSP_qq,,,,,73.29,-30.73,-5.56,-1.71,6.94,-5.60,24.06,30.60,-6.75,-22.03,10.61,9.47
CSP_sq,,,,,-6.22,19.78,-33.58,-15.85,7.47,20.54,3.76,5.56,-8.24,-17.71,-5.76,-6.59
