,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CZOCurrent_sq,,,8.83,6.47,-32.96,-33.43,6.49,-6.40,-1.80,12.31,11.51,27.86,5.29,-13.53,12.75,29.42,12.17,-29.28,-2.05,7.77,-7.76,63.06,-44.92,-18.75,7.27,19.56,-20.59,-6.39,21.22,46.81,13.70,21.00,-3.96,-19.08,-7.02,8.49,5.61,-5.59,2.88,-8.46,-9.07,-0.85,-14.12,-16.76,4.07,7.70,9.26,8.07,11.74,-19.86,-0.43,-7.84,31.89
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,2.44,1.60,,,,4.97,2.34,3.79,4.03,2.84,2.61,1.11,0.50,0.04,-1.20,-2.19,-4.38,-4.52,-3.97,-1.72,1.39,2.13,2.80,3.30,1.14,-1.48,-2.02,-2.86,-1.70,0.68,0.11,-1.13,-1.16,-0.98,-1.42,-1.86,-0.73,-1.27,0.75,2.11,1.89,2.16,0.42,1.72,1.95,4.52,5.81,3.15,1.80,5.27,4.58,5.86,10.93
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,3.32,-0.52,1.25,0.87,0.74,0.88,1.48,-0.29,0.51,-0.59,0.88,-0.75,-0.73,-1.59,-1.39,-0.89,-0.16,0.72,1.73,-0.16,0.49,1.20,-0.40,-2.74,-0.06,0.34,0.78,-0.38,-0.63,-0.90,0.75,-0.20,-1.08,-1.33,1.91,-0.74,0.95,,1.69,-0.48,-0.77,1.30,1.92,2.03,0.45,-1.25,0.58,5.51,-0.21,-0.04,5.40
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-11.22,-9.87,,,,-26.03,-24.29,-20.26,-15.01,-12.88,-5.78,0.52,6.67,10.13,11.86,10.77,3.89,0.77,-5.11,-5.96,-5.71,-9.24,-14.29,-17.86,-19.98,-20.28,-15.13,-11.21,-8.08,-2.64,-2.25,-2.37,-0.15,-3.49,-7.10,-11.34,-13.35,-13.08,-10.72,-8.29,-7.35,-5.47,-7.24,-6.78,-8.93,-8.36,-7.83,-10.98,-11.27,-8.83,-8.49,-6.14,-1.36
EVPCurrent_sy,18.21,-29.98,,,,1.32,-6.33,-2.91,-20.66,-15.99,-5.44,-19.60,2.41,-7.37,-6.25,22.43,49.13,84.59,40.38,-7.49,-27.58,9.11,-18.33,6.01,-15.97,-11.93,-0.50,-18.61,4.18,-8.37,-8.91,6.15,39.25,-7.69,31.72,41.98,22.10,17.48,18.52,5.94,-12.26,-14.27,-11.33,-16.55,-7.27,-6.70,-14.39,-11.55,0.63,-6.90,-9.42,-2.06,11.09
EVPCurrent_qq,,,-7.02,-9.79,-7.97,-4.18,-4.84,-4.99,-1.90,-1.78,2.92,1.37,4.11,1.40,4.54,0.37,-2.36,-1.64,-1.56,-0.53,-2.10,-5.32,-7.04,-4.68,-4.62,-5.68,-1.03,-0.28,-1.25,-0.10,-0.63,-0.40,1.00,-3.45,-4.35,-4.95,-1.30,-3.15,-1.74,-2.36,-0.28,-1.19,-3.58,-1.88,-2.58,-0.57,-3.02,-5.24,-2.89,2.17,-2.66,-2.81,2.06
EVPCurrent_sq,,,3.10,9.01,-8.75,-1.20,-4.68,12.99,-25.44,4.62,7.29,-3.94,-5.02,-5.38,8.59,25.44,15.70,17.12,-17.42,-17.34,-9.43,76.47,-38.19,7.30,-28.21,84.95,-30.17,-12.23,-8.10,62.68,-30.58,2.28,20.55,7.84,-0.94,10.25,3.67,3.77,-0.07,-1.46,-14.14,1.39,3.36,-7.25,-4.59,2.01,-5.16,-4.18,8.55,-5.62,-7.73,3.60,23.12
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-32.49,11.61,,,,-9.84,-29.78,-8.22,-6.96,-20.07,-12.68,-24.88,-19.14,11.40,18.00,17.15,9.40,7.76,18.01,30.60,25.39,-2.82,-18.07,-28.58,-26.48,-23.08,-19.09,-12.43,-8.67,7.07,9.04,14.46,13.38,-2.18,-16.78,-33.19,-38.98,-35.72,-25.54,-11.97,-0.60,-4.92,-9.65,-12.98,-16.50,-9.10,-4.79,-3.81,-3.73,-0.17,0.10,-2.66,1.14
EVEBITCurrent_sy,-37.88,-5.72,,,,-31.53,-47.30,-53.16,-32.85,-21.29,71.00,139.00,60.54,44.95,-20.16,-23.59,40.45,12.31,33.75,-12.72,-56.76,37.55,-18.11,-19.75,37.47,-23.36,-21.91,10.92,23.29,51.04,213.02,194.99,96.52,-9.78,-37.19,-40.01,-20.70,-13.68,-25.29,-18.63,-5.41,-3.17,-14.85,-19.12,-38.38,-24.37,-7.05,-2.62,36.88,-1.20,-9.87,-10.67,2.81
EVEBITCurrent_qq,,,13.11,-13.85,-4.77,-2.84,-11.90,12.59,-3.46,-16.54,-3.76,-3.14,3.93,14.99,1.94,-3.83,-2.95,13.27,11.64,6.43,-6.82,-12.22,-5.89,-7.22,-4.08,-8.16,-1.00,0.42,0.04,7.67,0.81,5.41,-0.90,-7.11,-14.23,-15.37,-9.50,-2.15,-0.65,0.07,2.19,-6.41,-5.59,-3.62,-1.95,1.89,-1.11,-2.63,-1.87,5.65,-0.85,-5.31,1.96
EVEBITCurrent_sq,,,15.42,-2.02,-34.55,-7.50,-11.16,-12.91,-6.17,8.43,93.01,21.72,-36.98,-2.10,6.31,16.49,15.85,-21.72,26.60,-23.99,-42.60,149.01,-24.62,-25.52,-1.67,38.82,-23.20,5.81,9.28,70.08,59.16,-0.29,-27.19,-21.92,10.80,-4.76,-3.75,-15.01,-4.11,3.74,11.88,-12.99,-15.67,-1.47,-14.76,6.79,3.63,3.23,19.81,-22.92,-5.46,2.31,37.90
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-23.51,3.74,,,,-10.68,-24.90,-8.96,-8.21,-18.02,-13.33,-22.56,-18.21,2.66,7.28,7.64,2.85,1.98,8.16,15.66,13.69,-2.78,-11.89,-18.48,-17.52,-17.62,-16.33,-13.73,-11.91,-0.50,1.89,7.08,8.12,-0.96,-10.98,-23.81,-28.87,-27.24,-19.97,-10.09,-2.44,-4.96,-9.36,-12.00,-14.63,-10.55,-6.99,-6.85,-6.93,-0.46,0.30,-0.97,3.57
EVEBITDACurrent_sy,7.12,-18.38,,,,-43.11,-25.35,-31.23,-22.33,12.82,1.39,67.62,46.27,66.80,56.65,22.04,32.61,-12.73,-17.73,-25.26,7.29,41.50,23.07,9.63,-15.18,-32.99,-40.07,-20.73,-9.10,18.57,103.75,78.93,51.67,2.19,-22.63,-21.28,-10.81,10.40,1.73,14.15,-5.00,-23.55,-26.82,-39.30,-21.55,-6.21,7.96,14.86,-1.74,-16.82,-17.98,-17.29,22.25
