,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_yy,,21.13,-73.75,-63.75,190.04,,,17.64,,4.75,-35.71,-30.57,-12.24,-21.16,-42.30,-46.15,-60.85,-58.43,11.03,-25.64,-25.32,-8.16,-38.58,-18.46,6.85,14.30,20.03,-20.28,-18.97,-17.65,-12.74,38.14,7.31,-16.51,-9.94,-19.90,-15.35,13.05
EVEBITCurrent_sy,,21.13,-98.65,310.79,-73.00,,,438.13,,532.22,-41.40,18.36,-41.16,-19.22,2.72,-3.80,-6.85,-28.25,19.39,-33.59,-24.35,7.30,-22.83,-41.94,-32.78,-25.63,14.12,192.44,153.58,200.00,163.63,18.39,-251.40,-101.90,-105.76,-97.35,103.02,2866.54
EVEBITCurrent_qq,,,,,,,11.15,24.68,-11.60,-14.50,-31.78,34.64,11.74,-23.19,-50.07,25.65,-18.76,-18.44,33.35,-15.84,-18.41,0.29,-10.82,11.74,6.91,7.29,-6.35,-25.79,8.67,9.03,-0.77,17.49,-15.59,-15.17,7.04,4.50,-10.79,13.29
EVEBITCurrent_sq,,,,,,,549.63,-12.90,65.93,-32.66,-39.79,75.92,-17.50,-7.57,-23.43,64.75,-20.12,-28.80,27.41,-8.35,-9.02,1.00,-8.37,-31.04,5.32,11.75,40.60,76.73,-8.67,32.20,23.55,-20.64,-216.80,98.34,-274.24,136.54,33.18,1419.30
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,21.13,-90.03,-50.92,142.46,,,-13.63,,106.46,-7.61,-10.78,-11.47,-33.39,-16.72,-30.84,-38.57,-42.02,-1.24,-19.28,-19.94,-5.97,-25.74,-18.94,-10.31,-11.51,-10.01,-23.39,-18.24,-17.11,-11.86,11.18,-2.21,-10.34,-3.40,-10.38,-6.05,9.25
EVEBITDACurrent_sy,,21.13,-98.85,165.73,128.79,,,-33.58,,307.68,-51.11,-35.13,-40.53,-38.02,8.92,70.61,49.61,17.36,33.95,-29.48,-22.47,1.51,-13.15,-7.47,-1.09,1.85,18.41,51.94,27.14,35.60,34.44,7.39,28.34,71.28,35.82,-27.39,-32.80,-60.03
EVEBITDACurrent_qq,,,,,,,20.88,40.58,0.21,21.24,-45.91,35.76,-0.57,-8.78,-32.37,12.75,-11.68,-13.91,15.19,-7.85,-12.40,1.11,-9.03,0.60,-3.07,-0.24,-7.49,-14.35,3.44,1.14,-1.63,8.04,-9.02,-7.27,5.98,0.23,-4.62,7.83
EVEBITDACurrent_sq,,,,,,,349.56,-9.19,8.06,-7.58,-46.08,20.48,-0.95,-3.67,-5.25,88.71,-13.14,-24.43,8.15,-0.65,-4.51,-1.06,-7.48,5.85,2.08,1.88,7.56,35.84,-14.58,8.65,6.64,8.50,2.09,45.00,-15.43,-42.00,-5.52,-13.74
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-26.41,303.75,-56.82,-69.42,,,-12.70,,-55.60,,-3.72,204.08,68.58,,100.00,158.05,122.05,-35.19,24.76,20.42,12.77,99.44,23.71,-8.64,-20.55,-25.54,14.48,20.45,11.21,6.31,-28.75,-6.58,31.44,24.32,14.81,7.14,-20.04
ROE_sy,,-26.41,303.75,-25.30,6.78,,,-64.85,,-79.48,,-56.08,125.31,357.30,,109.57,-31.94,9.30,-16.29,73.86,112.46,41.24,52.24,1.87,-44.50,-55.43,-63.60,-87.00,-73.60,-85.90,-95.21,-26.13,-112.31,-226.67,-245.90,-149.19,-277.46,682.89
ROE_qq,,,,,,,,,-69.66,130.61,,,-4.18,27.85,116.27,-24.51,23.63,10.01,-36.88,45.32,19.33,3.02,11.64,-9.86,-11.88,-10.40,4.62,38.59,-7.28,-17.27,,-7.12,21.58,16.39,-5.42,-14.22,13.46,-13.14
ROE_sq,,,,,,,,,-23.04,-55.25,,,294.78,-9.18,10.91,-47.30,28.22,45.85,-15.05,9.45,56.68,-3.05,-8.43,-26.77,-14.64,-22.14,-25.21,-73.84,73.27,-58.41,,303.28,-128.86,-328.17,70.72,-35.96,-121.49,761.19
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
