,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PELDR,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,,,,,,,,,,,71.15,113.45,138.07,443.64,-16.77,-35.95,-46.08,-79.86,14.19,-5.51
PELDR_sy,,,,,,,,,,,,17.17,18.58,14.72,20.45,25.58,10.55,17.46,-18.30,3.13,-20.83
PELDR_qq,,,,,,,,,-3.05,21.20,12.65,29.29,20.91,35.18,157.25,-80.21,-6.94,13.80,-3.90,12.20,-22.99
PELDR_sq,,,,,,,,,-1.19,3.86,16.86,-2.30,,0.48,22.70,1.86,-11.97,6.77,-14.66,28.58,-32.42
TSF,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,,37.95,,,38.32,7.08,7.19,18.30,-9.43,-7.82,-4.57,1.27,5.02,5.31,6.12,0.29,0.46,-2.42,-1.96,-4.59
TSF_sy,,,13.95,,,7.62,-1.90,7.60,7.64,-3.27,-3.28,-0.69,-4.21,4.43,1.63,-4.20,-0.17,-3.67,-3.37,-5.10,-5.77
TSF_qq,,,28.61,-4.54,-10.46,25.82,-0.44,-4.43,-1.18,-3.67,1.33,-1.07,4.87,-0.11,1.61,-0.31,-0.89,0.06,-1.30,0.16,-3.55
TSF_sq,,,11.47,-6.25,-2.40,5.51,1.62,2.83,-2.36,-5.18,1.60,5.59,-5.83,3.37,-1.13,-0.47,-1.86,-0.25,-0.81,-2.26,-2.55
ZKO,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,,-73.25,,,-93.27,-68.84,-45.24,-71.03,469.82,241.53,49.40,-22.64,-44.58,4.57,-22.13,-2.47,-5.14,-23.16,-5.94,79.55
ZKO_sy,,,-2.33,,,11.57,4.37,-9.41,-9.09,-4.95,13.14,10.90,1.74,7.47,-3.14,4.92,14.40,5.18,6.84,-1.47,18.56
ZKO_qq,,,-70.74,42.34,122.91,-92.76,35.59,150.17,17.93,42.45,-18.74,9.44,-38.93,2.04,53.35,-18.51,-23.52,-0.75,24.21,-0.24,46.00
ZKO_sq,,,0.16,15.54,2.03,-5.51,-6.31,0.28,2.40,-1.21,11.53,-1.71,-6.05,4.35,0.52,6.47,2.44,-4.06,2.11,-1.81,23.26
