,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
CZCurrent_yy,,,,,,,,,,-77.99,-92.20,952.25,3198.87,58.89,131.12,-51.30,-78.69,382.96,98.42,53.10,,,,,,,,,,,,,,,,,,,,,,343.33,,,,,
CZCurrent_sy,,,,,,,,,,-18.01,-20.87,-12.84,-16.25,-19.53,31.35,11.91,43.20,-27.29,-41.03,1.44,,,,,,,,,,,,,,,,,,,,,,-10.31,,,,,
CZCurrent_qq,,,,,,,145.93,-92.18,-12.19,30.33,-12.81,954.59,175.28,-93.72,26.83,122.19,20.44,42.30,-47.90,71.44,,,,,,,,,,,,,,,,,,,3.10,-12.84,10.45,346.67,,,,,
CZCurrent_sq,,,,,,,-0.73,-15.82,3.57,-5.27,-4.19,-7.27,-0.49,-8.97,56.37,-20.99,27.34,-53.78,26.83,35.91,,,,,,,,,,,,,,,,,,,-7.06,12.09,-25.76,15.96,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,-102.30,-10388.89,,,,122.51,115.10,267.18,363.99,448.78,808.56,-92.40,-92.08,-60.97,-75.11,11.72,60.43,-48.74,8.75,183.46,-216.18,-431.64,-465.23,-686.97,-617.33,-124.25,-43.43,15.35,-37.48,-61.61,-42.83,-19.86,23.94,98.03,100.44,100.75,100.35,156.02,222.39,173.26,484.38,-33.87,-53.70,-66.38,-597.86,338.21,-191.00
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,3.07,13.13,35.08,141.18,-34.98,861.76,2.51,-14.39,7.65,-91.95,6.77,322.10,-31.34,-63.89,53.32,34.87,45.64,-5.89,-162.85,-284.99,-60.39,-51.26,23.20,-20.36,-2.58,10.73,-24.73,-41.49,9.34,25.09,20.85,96.33,120.18,28.36,-62.79,481.25,16.13,8.80,-20.43,-34.22,-18.70,-21.00,-1278.48,157.89,-116.88
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,-81.77,-88.99,1216.71,1163.16,156.21,301.57,-10.57,-37.66,95.13,-8.02,-64.71,,,,,,,,,,,,,,,,,,,-68.86,-63.61,-82.84,51.00,116.05,198.44,,-77.12,
CZOCurrent_sy,,,,,,,,,,-1.52,14.48,16.96,-9.48,-39.78,16.75,-13.88,2.55,14.32,-36.62,-19.04,,,,,,,,,,,,,,,,,,,-1.58,-17.03,-24.40,-21.79,-12.29,14.10,,2.22,
CZOCurrent_qq,,,,,,,53.83,-89.60,-2.43,16.79,-7.08,1143.58,-6.39,-76.31,45.63,176.93,-34.74,-25.86,-31.35,6.24,,,,,,,,,,,,,,,,-21.58,167.31,-82.78,-13.71,-8.38,26.07,51.50,23.46,26.56,,,
CZOCurrent_sq,,,,,,,-6.97,0.96,-8.37,14.44,8.14,3.14,-29.08,-23.88,109.66,-23.92,-15.55,-15.13,16.24,-2.83,,,,,,,,,,,,,,,,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,8.05,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
