,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVEBITDACurrent_qq,,,,,482.45,-140.41,75.93,231.75,94.81,116.97,50.33,92.55,224.45,189.64,308.79,-1.49,-60.44,53.73,-312.08,-267.86,94.18,-372.17,150.18,-46.16,-58.18,32.23,26.92,3.95,9.94,16.71,51.24,114.99
EVEBITDACurrent_sq,,,,,55.63,-23.49,-44.59,-47.52,56.81,81.61,-0.75,25.23,24.79,55.20,-29.63,-2.16,11.27,-11.39,-159.82,-8.03,-48.13,40.96,317.13,23.55,-191.19,214.11,31.16,7.34,-126.06,393.53,-27.52,-16.39
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,1125.81,-68.86,,1315.89,,,,-92.77,-19.61,-37.73,,-152.92,-208.06,-276.07,-829.59,-859.49,-714.07,1885.20,225.87,167.54,135.62,-89.14,-76.96,-84.97,-77.76,-75.09,-50.24,20.19,-6.93,-1.00,-4.77
ROE_sy,,-1.61,-56.28,,124.57,,,,-31.05,-36.39,-14.33,,-101.05,-115.49,-195.13,-430.93,622.22,436.59,164.76,121.07,1054.26,-7.01,-18.91,-27.93,-275.30,-303.77,-318.03,-345.60,121.35,172.40,169.20,158.40
ROE_qq,,,,,,-91.27,2.93,,,-2.87,-20.27,-36.26,-207.23,-98.31,-29.90,-164.11,-41.02,-68.26,384.87,-81.38,-24.33,-11.26,-13.12,-60.51,-50.65,31.35,-2.68,-21.11,19.20,1.71,3.51,-24.11
ROE_sq,,,,,,21.04,-25.07,,,11.67,0.91,-15.04,-101.10,-1547.22,-519.73,-195.54,101.73,961.70,19.24,-3.87,-5.16,-14.47,3.99,-14.56,-330.69,0.58,-11.26,3.75,120.05,237.19,6.36,-18.78
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,945.21,-75.02,,574.41,,,,-44.94,-17.36,-45.85,,-133.43,-166.40,-209.33,-475.47,-231.43,-87.25,-126.54,-116.28,-114.38,-75.78,-16.62,67.76,83.52,70.87,67.66,46.25,-32.71,0.17,-13.71,-4.79
ROA_sy,,44.74,-70.12,,87.48,,,,-2.42,-34.34,-7.05,,-100.60,-98.85,-152.22,-236.89,-37300.00,-976.92,46.53,85.27,80.88,588.60,284.88,331.41,-544.52,-333.66,-333.72,-378.51,57.14,77.45,83.29,83.39
ROA_qq,,,,,,-39.24,10.50,,,-8.80,-27.60,-48.41,-198.13,-81.14,-19.21,-77.18,13.37,-2.34,-44.22,-69.16,14.13,16.09,4.32,53.23,56.11,-48.31,-6.23,22.27,-8.36,-11.57,-20.99,28.36
ROA_sq,,,,,,66.60,-27.45,,,12.10,2.70,-18.35,-100.63,316.67,-4761.54,-114.03,-73.01,94.92,-184.21,41.05,-124.61,229.84,7.54,-26.21,-725.57,52.93,-7.57,12.07,3.74,75.23,20.27,12.61
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,4795.12,1.92,,58.10,,,-3.33,5.93,-6.98,-25.29,-27.10,-76.69,-110.65,-135.90,-144.19,-177.81,-143.67,-122.81,-136.97,-1104.03,-341.16,53.79,95.97,132.90,147.49,220.10,1076.09,-68.06,-72.33,-108.63,-223.05
OPM_sy,,41.96,-0.36,,36.14,,,-16.45,-23.55,-19.58,13.49,14.31,-62.49,-84.48,-105.76,-116.10,-177.81,-133.38,-345.12,-29.01,-538.76,-883.08,-47.50,223.57,-5.40,-71.99,-152.41,-496.17,83.26,141.47,129.74,108.80
OPM_qq,,,,,0.32,8.06,5.34,-15.35,9.94,-5.11,-15.39,-17.40,-64.85,-143.34,-185.24,-1.69,38.11,-35.74,-160.82,-8.15,-214.46,50.26,72.68,90.56,2666.30,-28.21,-30.91,-23.31,-16.04,-37.80,-121.54,-994.06
OPM_sq,,,,,4.52,16.81,-27.16,-6.05,-4.36,22.87,2.79,-5.37,-68.61,-49.15,-138.13,-164.65,-51.65,78.19,-408.46,23.30,-650.89,66.43,23.71,164.26,-740.46,45.22,-11.97,-0.85,72.95,235.74,-19.69,-70.15
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,803.15,-44.52,,169.98,,,-19.59,-5.30,-4.64,-27.27,-33.12,-159.98,-219.45,-297.72,-465.00,-185.02,-74.01,-129.36,-211.44,-506.47,-304.23,-83.02,59.76,88.06,76.96,69.65,45.70,-31.27,6.61,-31.49,-91.66
ROS_sy,,33.88,-44.52,,130.37,,,-32.94,10.48,-14.95,19.74,26.32,-100.54,-102.50,-181.22,-231.89,-31441.67,-334.00,58.12,80.17,74.45,338.25,225.04,52.10,-285.21,-784.24,-568.06,-1331.64,21.07,88.28,92.38,92.31
ROS_qq,,,,,-0.21,0.56,5.27,-23.88,17.52,1.26,-19.71,-30.00,-205.40,-101.66,-32.90,-29.22,17.70,-23.12,-75.17,-75.46,-60.27,17.94,20.69,61.42,52.45,-58.34,-4.49,30.98,-14.95,-12.65,-47.13,-0.60
ROS_sq,,,,,-2.21,17.84,-32.01,-14.42,61.11,-9.28,-4.28,-9.72,-100.69,-316.67,-3009.00,-46.61,-66.08,94.27,-200.00,30.57,-113.94,153.46,57.45,-126.60,-1620.55,5.03,-7.70,18.65,5.15,85.90,29.92,17.90
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,1056.16,7.54,,12.52,,,-6.23,13.24,-3.11,-22.48,-23.23,-73.26,-95.64,-103.88,-94.12,3.72,595.45,608.91,669.29,-70.96,125.93,482.30,244.01,1261.39,37.85,-28.83,-43.53,-49.49,-39.56,-17.32,-40.09
RS_sy,,64.99,-4.94,,10.58,,,-6.55,-17.27,-18.44,-5.86,-15.12,-57.86,-64.04,-86.71,-90.61,-76.28,0.22,53.89,392.19,-641.18,80.83,228.60,55.58,30.62,-134.97,-132.98,-121.64,271.02,382.52,403.32,587.84
RS_qq,,,,,-5.40,9.96,7.56,-16.20,14.25,-5.91,-13.95,-17.01,-60.20,-84.65,-176.52,225.74,602.36,2.91,-44.01,90.08,-73.49,700.77,44.31,12.30,4.91,-18.92,-25.50,-10.89,-6.16,-2.98,1.91,-35.43
RS_sq,,,,,-7.41,26.59,-14.51,-6.74,-18.03,24.79,-1.32,-15.91,-59.31,6.51,-63.54,-40.57,2.77,350.00,-44.01,90.08,-213.00,250.36,1.75,-10.01,-150.39,24.22,4.05,40.93,498.18,25.19,3.02,-5.00
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,489.76,-49.38,,257.51,,,3.09,6.27,-2.49,-28.65,-34.28,-135.49,-187.40,-253.60,-370.72,-271.02,-91.41,-141.67,-228.26,-547.02,-324.00,-87.07,58.30,87.30,76.35,68.48,45.45,-24.98,7.38,-27.49,-89.13
GPM_sy,,44.26,-62.54,,249.73,,,-20.99,-18.36,-10.23,11.02,18.65,-98.76,-99.33,-159.93,-201.48,-14184.62,-1688.24,42.67,69.93,64.64,560.37,291.09,280.27,-174.29,-397.47,-364.48,-372.05,19.12,96.51,101.02,102.94
GPM_qq,,,,,7.92,7.57,9.98,-19.25,11.24,-1.29,-19.53,-25.62,-160.07,-143.06,-41.43,-31.09,17.67,-25.40,-78.57,-78.06,-62.28,17.83,21.21,60.31,50.56,-52.96,-5.02,31.31,-13.28,-13.34,-44.56,-1.90
GPM_sq,,,,,11.14,9.96,-24.74,-14.09,14.84,20.91,-6.93,-8.18,-98.80,-34.62,-8391.18,-55.48,-67.10,92.63,-199.26,18.44,-96.51,195.98,24.22,-23.06,-398.99,-4.10,-10.44,20.85,11.11,95.51,132.17,128.92
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
